file,line,type,field,id,priority
stops,14283,SuspectStopLocationError,stop_id,33036_node_faregate_central_east_unpaid,MEDIUM
stops,14282,SuspectStopLocationError,stop_id,33036_node_faregate_central_east_paid,MEDIUM
stops,12579,SuspectStopLocationError,stop_id,31033_node_north_side_headhouse_mezzanine,MEDIUM
stops,13910,SuspectStopLocationError,stop_id,33034_boarding_l_wb_3,MEDIUM
stops,14222,SuspectStopLocationError,stop_id,33035_node_mezzanine_rotogate_30th_street_southwest_unpaid,MEDIUM
stops,14235,SuspectStopLocationError,stop_id,33035_node_mezzanine_unpaid_near_30th_street_northwest_escalators,MEDIUM
stops,13990,SuspectStopLocationError,stop_id,33034_node_broad_st_concourse_stair_b_platform_nb,MEDIUM
stops,14164,SuspectStopLocationError,stop_id,33034_node_t_westbound_platform_north_rotogate_unpaid,MEDIUM
stops,13901,SuspectStopLocationError,stop_id,33034_boarding_b_sb_1,MEDIUM
stops,13951,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_corridor_s1_landing,MEDIUM
stops,14007,SuspectStopLocationError,stop_id,33034_node_courtyard_sw_landing,MEDIUM
stops,13939,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_paid_corridor_n2_landing,MEDIUM
stops,14033,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_junction_sw_paid_area,MEDIUM
stops,12539,SuspectStopLocationError,stop_id,31033_node_elevator_1_street,MEDIUM
stops,14146,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_stair_w5,MEDIUM
stops,14147,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_stair_west_paid,MEDIUM
stops,14108,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_w2_landing,MEDIUM
stops,14206,SuspectStopLocationError,stop_id,33035_node_mezzanine_market_central_northeast_stair,MEDIUM
stops,14096,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_s_unpaid_area,MEDIUM
stops,12592,SuspectStopLocationError,stop_id,31033_node_stair_d_street,MEDIUM
stops,14112,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_16th_market_exit_faregate_paid,MEDIUM
stops,14231,SuspectStopLocationError,stop_id,33035_node_mezzanine_unpaid_30th_street_southwest,MEDIUM
stops,14037,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_l_rotogate_nw_paid,MEDIUM
stops,12567,SuspectStopLocationError,stop_id,31033_node_main_hall_perimeter_southeast,MEDIUM
stops,14261,SuspectStopLocationError,stop_id,33036_boarding_track_4_position_4,MEDIUM
stops,13973,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_stair_t_westbound_platform,MEDIUM
stops,13913,SuspectStopLocationError,stop_id,33034_boarding_t_wb_2,MEDIUM
stops,13985,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_stair_t_westbound_platform,MEDIUM
